ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,start_dense_data,last_survey_point,rice,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice
MMR,Myanmar,Kachin,Bhamo,Bhamo,24.2666667,97.2333333,gid_242666667972333333,2008-01-01,2008,1,Jan 2008,Jun 2024,,477.92,510.21,455.38,482.85,,8.9
MMR,Myanmar,Kachin,Bhamo,Bhamo,24.2666667,97.2333333,gid_242666667972333333,2008-02-01,2008,2,Jan 2008,Jun 2024,,487.77,515.47,460.08,498.78,,8.9
MMR,Myanmar,Kachin,Bhamo,Bhamo,24.2666667,97.2333333,gid_242666667972333333,2008-03-01,2008,3,Jan 2008,Jun 2024,,503.35,530.39,420.74,420.74,,8.9
MMR,Myanmar,Kachin,Bhamo,Bhamo,24.2666667,97.2333333,gid_242666667972333333,2008-04-01,2008,4,Jan 2008,Jun 2024,,428.3,456.88,399.72,448.52,,8.9
MMR,Myanmar,Kachin,Bhamo,Bhamo,24.2666667,97.2333333,gid_242666667972333333,2008-05-01,2008,5,Jan 2008,Jun 2024,,451.33,514.96,422.69,514.96,,8.9
MMR,Myanmar,Kachin,Bhamo,Bhamo,24.2666667,97.2333333,gid_242666667972333333,2008-06-01,2008,6,Jan 2008,Jun 2024,,517.36,571.77,481.11,571.77,,8.9
MMR,Myanmar,Kachin,Bhamo,Bhamo,24.2666667,97.2333333,gid_242666667972333333,2008-07-01,2008,7,Jan 2008,Jun 2024,,575.58,615.91,535.24,582.12,,8.9
MMR,Myanmar,Kachin,Bhamo,Bhamo,24.2666667,97.2333333,gid_242666667972333333,2008-08-01,2008,8,Jan 2008,Jun 2024,,588.23,625.94,550.52,617.81,,8.9
MMR,Myanmar,Kachin,Bhamo,Bhamo,24.2666667,97.2333333,gid_242666667972333333,2008-09-01,2008,9,Jan 2008,Jun 2024,,622.65,660.62,512.94,512.94,,8.9
MMR,Myanmar,Kachin,Bhamo,Bhamo,24.2666667,97.2333333,gid_242666667972333333,2008-10-01,2008,10,Jan 2008,Jun 2024,,522.59,560.8,470.97,470.97,,8.9
MMR,Myanmar,Kachin,Bhamo,Bhamo,24.2666667,97.2333333,gid_242666667972333333,2008-11-01,2008,11,Jan 2008,Jun 2024,,477.01,511.47,442.54,448.67,,8.9
