ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,start_dense_data,last_survey_point,rice,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice
MMR,Myanmar,Mandalay,Nyaung-U,BoneSin,21.20001,94.90902,gid_212000100949090200,2008-01-01,2008,1,Jan 2008,Jun 2024,,800.12,842.57,770.89,790.85,,8.9
MMR,Myanmar,Mandalay,Nyaung-U,BoneSin,21.20001,94.90902,gid_212000100949090200,2008-02-01,2008,2,Jan 2008,Jun 2024,,797.38,836.95,761.95,836.95,,8.9
MMR,Myanmar,Mandalay,Nyaung-U,BoneSin,21.20001,94.90902,gid_212000100949090200,2008-03-01,2008,3,Jan 2008,Jun 2024,,841.08,878.08,776.44,776.44,,8.9
MMR,Myanmar,Mandalay,Nyaung-U,BoneSin,21.20001,94.90902,gid_212000100949090200,2008-04-01,2008,4,Jan 2008,Jun 2024,,775.56,819.62,740.17,819.62,,8.9
MMR,Myanmar,Mandalay,Nyaung-U,BoneSin,21.20001,94.90902,gid_212000100949090200,2008-05-01,2008,5,Jan 2008,Jun 2024,,839.52,959.78,802.41,959.78,,8.9
MMR,Myanmar,Mandalay,Nyaung-U,BoneSin,21.20001,94.90902,gid_212000100949090200,2008-06-01,2008,6,Jan 2008,Jun 2024,,987.69,1039.44,935.93,981.77,,8.9
MMR,Myanmar,Mandalay,Nyaung-U,BoneSin,21.20001,94.90902,gid_212000100949090200,2008-07-01,2008,7,Jan 2008,Jun 2024,,1010.17,1060.28,960.06,992.12,,8.9
MMR,Myanmar,Mandalay,Nyaung-U,BoneSin,21.20001,94.90902,gid_212000100949090200,2008-08-01,2008,8,Jan 2008,Jun 2024,,1024.24,1072.45,976.04,1032.96,,8.9
MMR,Myanmar,Mandalay,Nyaung-U,BoneSin,21.20001,94.90902,gid_212000100949090200,2008-09-01,2008,9,Jan 2008,Jun 2024,,1057.41,1105.2,899.31,899.31,,8.9
MMR,Myanmar,Mandalay,Nyaung-U,BoneSin,21.20001,94.90902,gid_212000100949090200,2008-10-01,2008,10,Jan 2008,Jun 2024,,912.36,962.25,799.82,799.82,,8.9
MMR,Myanmar,Mandalay,Nyaung-U,BoneSin,21.20001,94.90902,gid_212000100949090200,2008-11-01,2008,11,Jan 2008,Jun 2024,,811.49,858.82,764.16,809.29,,8.9
MMR,Myanmar,Mandalay,Nyaung-U,BoneSin,21.20001,94.90902,gid_212000100949090200,2008-12-01,2008,12,Jan 2008,Jun 2024,,813.57,858.7,685.16,685.16,,8.9
