ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,start_dense_data,last_survey_point,rice,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2008-01-01,2008,1,Jan 2008,Jun 2024,,495.76,518.18,482.75,496.41,,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2008-02-01,2008,2,Jan 2008,Jun 2024,,501.12,518.85,483.38,513.75,,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2008-03-01,2008,3,Jan 2008,Jun 2024,,518.54,536.83,491.42,491.42,,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2008-04-01,2008,4,Jan 2008,Jun 2024,,494.91,553.06,477.47,553.06,,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2008-05-01,2008,5,Jan 2008,Jun 2024,,581.56,638.25,561.62,638.25,,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2008-06-01,2008,6,Jan 2008,Jun 2024,,674.54,698.14,650.29,650.29,,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2008-07-01,2008,7,Jan 2008,Jun 2024,,673.28,697.78,648.79,655.38,,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2008-08-01,2008,8,Jan 2008,Jun 2024,,678.04,703.04,653.05,682.92,,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2008-09-01,2008,9,Jan 2008,Jun 2024,,705.5,731.69,626.33,626.33,,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2008-10-01,2008,10,Jan 2008,Jun 2024,,632.92,657.41,596.11,596.11,,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2008-11-01,2008,11,Jan 2008,Jun 2024,,604.22,627.89,580.54,582.85,,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2008-12-01,2008,12,Jan 2008,Jun 2024,,588.64,612.03,490.73,490.73,,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2009-01-01,2009,1,Jan 2008,Jun 2024,,485.71,506.12,465.3,469.85,-5.35,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2009-02-01,2009,2,Jan 2008,Jun 2024,,470.1,490.15,394.04,394.04,-23.3,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2009-03-01,2009,3,Jan 2008,Jun 2024,,388.13,411.75,370.61,411.75,-16.21,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2009-04-01,2009,4,Jan 2008,Jun 2024,,416.63,435.54,397.73,415.22,-24.92,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2009-05-01,2009,5,Jan 2008,Jun 2024,,416.59,436.06,389.83,389.83,-38.92,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2009-06-01,2009,6,Jan 2008,Jun 2024,,388.44,409.79,369.85,409.79,-36.98,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2009-07-01,2009,7,Jan 2008,Jun 2024,,414.32,434.07,394.56,395.07,-39.72,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2009-08-01,2009,8,Jan 2008,Jun 2024,,394.92,421.16,375.76,421.16,-38.33,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2009-09-01,2009,9,Jan 2008,Jun 2024,,426.81,447.32,403.6,403.6,-35.56,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2009-10-01,2009,10,Jan 2008,Jun 2024,,402.97,422.63,383.32,401.38,-32.67,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2009-11-01,2009,11,Jan 2008,Jun 2024,,403.07,422.51,382.83,382.83,-34.32,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2009-12-01,2009,12,Jan 2008,Jun 2024,,382.33,400.72,363.94,388.94,-20.74,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2010-01-01,2010,1,Jan 2008,Jun 2024,,391.75,410.19,373.3,391.77,-16.62,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2010-02-01,2010,2,Jan 2008,Jun 2024,,393.69,411.96,375.42,378.39,-3.97,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2010-03-01,2010,3,Jan 2008,Jun 2024,,378.38,395.68,361.08,370.35,-10.06,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2010-04-01,2010,4,Jan 2008,Jun 2024,,371.39,393.53,354.85,393.53,-5.22,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2010-05-01,2010,5,Jan 2008,Jun 2024,,398.57,415.75,381.39,395.36,1.42,8.9
MMR,Myanmar,Sagaing,Hkamti,Home shop,26.97979,96.16705,gid_269797900961670500,2010-06-01,2010,6,Jan 2008,Jun 2024,,397.15,413.96,380.34,392.52,-4.21,8.9
