ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,start_dense_data,last_survey_point,rice,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2008-01-01,2008,1,Jan 2008,Jun 2024,,414.93,440.73,400.52,420.68,,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2008-02-01,2008,2,Jan 2008,Jun 2024,,426.46,446.84,406.07,419.35,,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2008-03-01,2008,3,Jan 2008,Jun 2024,,424.66,444.58,345.97,345.97,,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2008-04-01,2008,4,Jan 2008,Jun 2024,,346.57,399.51,328.21,399.51,,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2008-05-01,2008,5,Jan 2008,Jun 2024,,407.06,429.39,384.73,388.99,,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2008-06-01,2008,6,Jan 2008,Jun 2024,,393.94,415.3,330.98,330.98,,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2008-07-01,2008,7,Jan 2008,Jun 2024,,332.1,351.28,301.65,301.65,,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2008-08-01,2008,8,Jan 2008,Jun 2024,,302.97,362.88,285.49,362.88,,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2008-09-01,2008,9,Jan 2008,Jun 2024,,371.09,393.83,347.21,347.21,,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2008-10-01,2008,10,Jan 2008,Jun 2024,,351.65,464.06,330.22,464.06,,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2008-11-01,2008,11,Jan 2008,Jun 2024,,476.58,507.79,445.38,445.59,,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2008-12-01,2008,12,Jan 2008,Jun 2024,,451.95,481.4,422.5,446.67,,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2009-01-01,2009,1,Jan 2008,Jun 2024,,452.55,505.8,423.79,505.8,20.23,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2009-02-01,2009,2,Jan 2008,Jun 2024,,516.34,549.1,425.39,425.39,1.44,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2009-03-01,2009,3,Jan 2008,Jun 2024,,427.57,456.36,398.78,430.97,24.57,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2009-04-01,2009,4,Jan 2008,Jun 2024,,435.77,471.01,407.38,471.01,17.9,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2009-05-01,2009,5,Jan 2008,Jun 2024,,479.41,510.08,448.74,477.55,22.77,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2009-06-01,2009,6,Jan 2008,Jun 2024,,484.67,514.95,454.39,479.31,44.81,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2009-07-01,2009,7,Jan 2008,Jun 2024,,485.74,515.36,456.12,465.0,54.15,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2009-08-01,2009,8,Jan 2008,Jun 2024,,470.08,501.58,441.94,501.58,38.22,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2009-09-01,2009,9,Jan 2008,Jun 2024,,510.05,561.32,480.1,561.32,61.66,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2009-10-01,2009,10,Jan 2008,Jun 2024,,573.16,606.77,466.79,466.79,0.59,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2009-11-01,2009,11,Jan 2008,Jun 2024,,468.94,498.74,439.15,466.09,4.6,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2009-12-01,2009,12,Jan 2008,Jun 2024,,470.79,499.77,439.17,439.17,-1.68,8.9
MMR,Myanmar,Shan (North),Hopang,Ai Cheng,22.765,99.22302,gid_227650000992230200,2010-01-01,2010,1,Jan 2008,Jun 2024,,442.78,469.7,415.86,435.94,-13.81,8.9
