ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,start_dense_data,last_survey_point,rice,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2008-01-01,2008,1,Jan 2008,Jun 2024,,493.95,505.01,476.57,495.06,,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2008-02-01,2008,2,Jan 2008,Jun 2024,,491.89,506.14,477.64,479.95,,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2008-03-01,2008,3,Jan 2008,Jun 2024,,469.88,483.63,452.92,452.92,,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2008-04-01,2008,4,Jan 2008,Jun 2024,,446.93,514.59,433.97,514.59,,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2008-05-01,2008,5,Jan 2008,Jun 2024,,521.77,537.53,506.01,514.16,,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2008-06-01,2008,6,Jan 2008,Jun 2024,,519.31,534.92,503.71,513.76,,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2008-07-01,2008,7,Jan 2008,Jun 2024,,517.6,533.06,502.14,510.12,,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2008-08-01,2008,8,Jan 2008,Jun 2024,,512.45,527.68,497.22,499.91,,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2008-09-01,2008,9,Jan 2008,Jun 2024,,499.51,514.34,457.55,457.55,,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2008-10-01,2008,10,Jan 2008,Jun 2024,,451.84,465.64,419.45,419.45,,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2008-11-01,2008,11,Jan 2008,Jun 2024,,410.41,423.17,376.8,376.8,,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2008-12-01,2008,12,Jan 2008,Jun 2024,,365.29,376.89,347.85,347.85,,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2009-01-01,2009,1,Jan 2008,Jun 2024,,335.68,346.36,325.0,326.05,-34.14,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2009-02-01,2009,2,Jan 2008,Jun 2024,,314.1,331.65,304.16,331.65,-30.9,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2009-03-01,2009,3,Jan 2008,Jun 2024,,321.83,344.73,311.71,344.73,-23.89,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2009-04-01,2009,4,Jan 2008,Jun 2024,,337.03,347.62,326.45,339.33,-34.06,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2009-05-01,2009,5,Jan 2008,Jun 2024,,331.8,342.12,321.49,337.93,-34.27,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2009-06-01,2009,6,Jan 2008,Jun 2024,,331.05,349.3,320.85,349.3,-32.01,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2009-07-01,2009,7,Jan 2008,Jun 2024,,344.0,354.55,333.45,334.12,-34.5,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2009-08-01,2009,8,Jan 2008,Jun 2024,,327.95,352.14,317.92,352.14,-29.56,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2009-09-01,2009,9,Jan 2008,Jun 2024,,348.21,358.88,336.79,336.79,-26.39,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2009-10-01,2009,10,Jan 2008,Jun 2024,,331.71,341.86,321.57,336.93,-19.68,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2009-11-01,2009,11,Jan 2008,Jun 2024,,332.39,342.46,322.31,338.89,-10.06,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2009-12-01,2009,12,Jan 2008,Jun 2024,,334.96,345.06,324.9,345.06,-0.8,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2010-01-01,2010,1,Jan 2008,Jun 2024,,342.04,355.1,331.84,355.1,8.91,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2010-02-01,2010,2,Jan 2008,Jun 2024,,353.23,364.17,342.77,364.17,9.81,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2010-03-01,2010,3,Jan 2008,Jun 2024,,363.21,373.89,352.52,364.41,5.71,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2010-04-01,2010,4,Jan 2008,Jun 2024,,363.4,376.57,352.79,376.57,10.98,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2010-05-01,2010,5,Jan 2008,Jun 2024,,376.8,387.74,365.86,378.72,12.07,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2010-06-01,2010,6,Jan 2008,Jun 2024,,378.99,389.92,368.06,383.08,9.67,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2010-07-01,2010,7,Jan 2008,Jun 2024,,383.69,416.76,372.71,416.76,24.73,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2010-08-01,2010,8,Jan 2008,Jun 2024,,420.94,433.14,405.33,405.33,15.11,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2010-09-01,2010,9,Jan 2008,Jun 2024,,407.54,419.38,395.69,397.3,17.97,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2010-10-01,2010,10,Jan 2008,Jun 2024,,398.44,425.49,386.89,425.49,26.29,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2010-11-01,2010,11,Jan 2008,Jun 2024,,429.69,442.18,417.19,439.14,29.58,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2010-12-01,2010,12,Jan 2008,Jun 2024,,444.23,457.05,429.16,429.16,24.37,8.9
MMR,Myanmar,Tanintharyi,Kawthoung,Bokpyin,11.26627624,98.76228996,gid_112662762987622900,2011-01-01,2011,1,Jan 2008,Jun 2024,,432.48,444.97,383.38,383.38,7.96,8.9
